Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
"42101026700","Census Tract 267, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009062",,,,,"42","101",,,"026700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101026700","Census Tract 267",,,,2699,325,66,94,203,144,163,222,78,61,368,72,289,284,124,97,109
"42101026800","Census Tract 268, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009063",,,,,"42","101",,,"026800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101026800","Census Tract 268",,,,2014,186,109,92,197,176,31,196,119,75,217,185,214,116,40,37,24
"42101026900","Census Tract 269, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009064",,,,,"42","101",,,"026900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101026900","Census Tract 269",,,,735,87,21,15,26,8,19,18,16,0,59,97,71,66,23,77,132
"42101027000","Census Tract 270, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009065",,,,,"42","101",,,"027000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027000","Census Tract 270",,,,980,113,23,23,40,7,51,27,64,23,29,76,177,44,191,47,45
"42101027100","Census Tract 271, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009066",,,,,"42","101",,,"027100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027100","Census Tract 271",,,,1014,55,8,46,6,30,53,22,23,58,227,141,156,49,41,88,11
"42101027200","Census Tract 272, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009067",,,,,"42","101",,,"027200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027200","Census Tract 272",,,,1862,124,146,42,58,99,102,57,90,49,266,191,203,91,164,129,51
"42101027300","Census Tract 273, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009068",,,,,"42","101",,,"027300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027300","Census Tract 273",,,,2388,116,285,261,154,161,45,73,25,284,152,209,231,131,159,85,17
"42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009069",,,,,"42","101",,,"027401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027401","Census Tract 274.01",,,,1064,101,228,19,51,11,10,15,122,10,81,104,205,52,6,49,0
"42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009070",,,,,"42","101",,,"027402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027402","Census Tract 274.02",,,,2453,305,91,156,118,0,0,350,18,0,165,513,229,186,96,149,77
"42101027500","Census Tract 275, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009071",,,,,"42","101",,,"027500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027500","Census Tract 275",,,,1683,114,132,63,111,45,66,201,49,47,148,82,276,160,60,118,11
"42101027600","Census Tract 276, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009072",,,,,"42","101",,,"027600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027600","Census Tract 276",,,,1832,218,93,13,115,137,27,259,104,42,200,129,187,134,101,30,43
"42101027700","Census Tract 277, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009073",,,,,"42","101",,,"027700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027700","Census Tract 277",,,,2393,560,332,98,136,85,151,77,73,97,311,115,92,188,26,52,0
"42101027800","Census Tract 278, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009074",,,,,"42","101",,,"027800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027800","Census Tract 278",,,,1975,182,231,221,160,102,52,26,32,103,158,303,193,167,0,31,14
"42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009075",,,,,"42","101",,,"027901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027901","Census Tract 279.01",,,,1463,65,257,190,26,103,66,81,0,51,150,130,156,109,39,33,7
"42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009076",,,,,"42","101",,,"027902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101027902","Census Tract 279.02",,,,1089,179,125,60,76,50,68,72,118,34,59,68,86,37,45,12,0
"42101028000","Census Tract 280, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009077",,,,,"42","101",,,"028000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028000","Census Tract 280",,,,1735,277,166,138,125,35,191,51,166,87,107,107,195,43,21,0,26
"42101028100","Census Tract 281, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009078",,,,,"42","101",,,"028100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028100","Census Tract 281",,,,1917,115,247,95,62,129,92,83,114,39,333,59,257,68,22,202,0
"42101028200","Census Tract 282, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009079",,,,,"42","101",,,"028200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028200","Census Tract 282",,,,2216,419,350,143,92,60,323,32,0,78,210,99,175,127,0,104,4
"42101028300","Census Tract 283, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009080",,,,,"42","101",,,"028300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028300","Census Tract 283",,,,2532,513,507,76,185,48,100,97,112,32,294,471,86,11,0,0,0
"42101028400","Census Tract 284, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009081",,,,,"42","101",,,"028400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028400","Census Tract 284",,,,1363,294,185,105,175,92,92,29,36,70,79,49,47,43,67,0,0
"42101028500","Census Tract 285, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009082",,,,,"42","101",,,"028500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028500","Census Tract 285",,,,1116,125,136,84,35,31,0,57,52,54,22,63,391,64,0,0,2
"42101028600","Census Tract 286, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009083",,,,,"42","101",,,"028600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028600","Census Tract 286",,,,2605,195,174,178,0,312,18,179,13,113,510,401,249,63,77,0,123
"42101028700","Census Tract 287, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009084",,,,,"42","101",,,"028700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028700","Census Tract 287",,,,783,118,50,214,36,17,46,54,8,65,0,52,51,18,27,24,3
