Geo_FIPS,Geo_SL040_FIPS,Geo_SL050_FIPS,Geo_SL140_FIPS,Geo_GISJOIN,Geo_GISJOIN2,Geo_state,Geo_county,Geo_prefix,Geo_tract,Geo_suffix,Geo_SUMLEV,Geo_SL040_Name,Geo_SL050_Name,Geo_Name,Geo_LongName,Geo_QName,Geo_QName2,Geo_seq,Geo_NHGISST,Geo_NHGISCTY,Geo_areatotal,Geo_shape_area,Geo_shape_len,Geo_year,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,SE_T010_001,SE_T010_002,SE_T010_003,PCT_SE_T010_002,PCT_SE_T010_003,SE_T001_001
"4210103102000",42,101,"03102000","G42010100031B","42010100031B","42","101",,"31","B","140","Pennsylvania","Philadelphia","31B","Census Tract 31B","Census Tract 31B, Philadelphia County, Pennsylvania","Census Tract 31B, Philadelphia County, Pennsylvania","153","420","1010",0.2016640685,522307.539084,3425.68672,"1940",9855,9853,0,2,99.98,0,0.02,9855,9853,2,99.98,0.02,9855
"4210103103000",42,101,"03103000","G42010100031C","42010100031C","42","101",,"31","C","140","Pennsylvania","Philadelphia","31C","Census Tract 31C","Census Tract 31C, Philadelphia County, Pennsylvania","Census Tract 31C, Philadelphia County, Pennsylvania","154","420","1010",0.0756475334,195926.211937,1810.430567,"1940",3484,3484,0,0,100,0,0,3484,3484,0,100,0,3484
"4210103201000",42,101,"03201000","G42010100032A","42010100032A","42","101",,"32","A","140","Pennsylvania","Philadelphia","32A","Census Tract 32A","Census Tract 32A, Philadelphia County, Pennsylvania","Census Tract 32A, Philadelphia County, Pennsylvania","155","420","1010",0.0702656707,181987.251562,1891.52215,"1940",7437,2802,4548,87,37.68,61.15,1.17,7437,2802,4635,37.68,62.32,7437
"4210103202000",42,101,"03202000","G42010100032B","42010100032B","42","101",,"32","B","140","Pennsylvania","Philadelphia","32B","Census Tract 32B","Census Tract 32B, Philadelphia County, Pennsylvania","Census Tract 32B, Philadelphia County, Pennsylvania","156","420","1010",0.0495364821,128298.899435,1745.784327,"1940",2301,1863,420,18,80.96,18.25,0.78,2301,1863,438,80.96,19.04,2301
"4210103203000",42,101,"03203000","G42010100032C","42010100032C","42","101",,"32","C","140","Pennsylvania","Philadelphia","32C","Census Tract 32C","Census Tract 32C, Philadelphia County, Pennsylvania","Census Tract 32C, Philadelphia County, Pennsylvania","157","420","1010",0.1787981278,463085.024558,2733.098873,"1940",10846,5198,5646,2,47.93,52.06,0.02,10846,5198,5648,47.93,52.07,10846
"4210103204000",42,101,"03204000","G42010100032D","42010100032D","42","101",,"32","D","140","Pennsylvania","Philadelphia","32D","Census Tract 32D","Census Tract 32D, Philadelphia County, Pennsylvania","Census Tract 32D, Philadelphia County, Pennsylvania","158","420","1010",0.1743904766,451669.260485,3092.943777,"1940",14170,1486,12678,6,10.49,89.47,0.04,14170,1486,12684,10.49,89.51,14170
"4210103205000",42,101,"03205000","G42010100032E","42010100032E","42","101",,"32","E","140","Pennsylvania","Philadelphia","32E","Census Tract 32E","Census Tract 32E, Philadelphia County, Pennsylvania","Census Tract 32E, Philadelphia County, Pennsylvania","159","420","1010",0.3353573131,868571.452569,4406.622924,"1940",15297,13608,1683,6,88.96,11,0.04,15297,13608,1689,88.96,11.04,15297
"4210103206000",42,101,"03206000","G42010100032F","42010100032F","42","101",,"32","F","140","Pennsylvania","Philadelphia","32F","Census Tract 32F","Census Tract 32F, Philadelphia County, Pennsylvania","Census Tract 32F, Philadelphia County, Pennsylvania","160","420","1010",0.3056213427,791555.642894,3868.601803,"1940",11,11,0,0,100,0,0,11,11,0,100,0,11
"4210103301000",42,101,"03301000","G42010100033A","42010100033A","42","101",,"33","A","140","Pennsylvania","Philadelphia","33A","Census Tract 33A","Census Tract 33A, Philadelphia County, Pennsylvania","Census Tract 33A, Philadelphia County, Pennsylvania","161","420","1010",0.0853089436,220949.149338,2295.844011,"1940",0,0,0,0,,,,0,0,0,,,0
"4210103302000",42,101,"03302000","G42010100033B","42010100033B","42","101",,"33","B","140","Pennsylvania","Philadelphia","33B","Census Tract 33B","Census Tract 33B, Philadelphia County, Pennsylvania","Census Tract 33B, Philadelphia County, Pennsylvania","162","420","1010",0.3074804303,796370.657689,4408.032083,"1940",7429,7372,46,11,99.23,0.62,0.15,7429,7372,57,99.23,0.77,7429
"4210103303000",42,101,"03303000","G42010100033C","42010100033C","42","101",,"33","C","140","Pennsylvania","Philadelphia","33C","Census Tract 33C","Census Tract 33C, Philadelphia County, Pennsylvania","Census Tract 33C, Philadelphia County, Pennsylvania","163","420","1010",0.4886336209,1265555.26699,4840.308424,"1940",2234,2234,0,0,100,0,0,2234,2234,0,100,0,2234
"4210103304000",42,101,"03304000","G42010100033D","42010100033D","42","101",,"33","D","140","Pennsylvania","Philadelphia","33D","Census Tract 33D","Census Tract 33D, Philadelphia County, Pennsylvania","Census Tract 33D, Philadelphia County, Pennsylvania","164","420","1010",0.4611999075,1194502.27542,4787.140603,"1940",184,184,0,0,100,0,0,184,184,0,100,0,184
"4210103305000",42,101,"03305000","G42010100033E","42010100033E","42","101",,"33","E","140","Pennsylvania","Philadelphia","33E","Census Tract 33E","Census Tract 33E, Philadelphia County, Pennsylvania","Census Tract 33E, Philadelphia County, Pennsylvania","165","420","1010",0.4055136603,1050275.55752,4431.703695,"1940",552,503,49,0,91.12,8.88,0,552,503,49,91.12,8.88,552
"4210103306000",42,101,"03306000","G42010100033F","42010100033F","42","101",,"33","F","140","Pennsylvania","Philadelphia","33F","Census Tract 33F","Census Tract 33F, Philadelphia County, Pennsylvania","Census Tract 33F, Philadelphia County, Pennsylvania","166","420","1010",0.2805016867,726496.032662,4324.397847,"1940",3290,3267,23,0,99.3,0.7,0,3290,3267,23,99.3,0.7,3290
"4210103307000",42,101,"03307000","G42010100033G","42010100033G","42","101",,"33","G","140","Pennsylvania","Philadelphia","33G","Census Tract 33G","Census Tract 33G, Philadelphia County, Pennsylvania","Census Tract 33G, Philadelphia County, Pennsylvania","167","420","1010",0.3847893542,996599.851055,4287.133437,"1940",12114,12091,13,10,99.81,0.11,0.08,12114,12091,23,99.81,0.19,12114
"4210103308000",42,101,"03308000","G42010100033H","42010100033H","42","101",,"33","H","140","Pennsylvania","Philadelphia","33H","Census Tract 33H","Census Tract 33H, Philadelphia County, Pennsylvania","Census Tract 33H, Philadelphia County, Pennsylvania","168","420","1010",0.1947970402,504522.017462,3444.030287,"1940",9230,9228,0,2,99.98,0,0.02,9230,9228,2,99.98,0.02,9230
"4210103309000",42,101,"03309000","G42010100033I","42010100033I","42","101",,"33","I","140","Pennsylvania","Philadelphia","33I","Census Tract 33I","Census Tract 33I, Philadelphia County, Pennsylvania","Census Tract 33I, Philadelphia County, Pennsylvania","169","420","1010",0.3223339276,834841.039095,4629.82935,"1940",15431,15407,1,23,99.84,0.01,0.15,15431,15407,24,99.84,0.16,15431
