File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Public Use Microdata Area – 5%File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Median Year Structure Built,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,"% Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",% Owner Occupied Housing Units: Non-White Homeowners,Owner-Occupied Housing Units,Housing Units,Households:,Households: with a Householder Who Is White Alone,Households: with a Householder Who Is Black or African  American Alone,Households: with a Householder Who Is American Indian and  Alaska Native Alone,Households: with a Householder Who Is Asian Alone,Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,Households: with a Householder Who Is Some Other Race Alone,Households: with a Householder Who Is Two or More Races,Households: with a Householder Who Is Hispanic or Latino,"Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",% Households: with a Householder Who Is White Alone,% Households: with a Householder Who Is Black or African  American Alone,% Households: with a Householder Who Is American Indian and  Alaska Native Alone,% Households: with a Householder Who Is Asian Alone,% Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,% Households: with a Householder Who Is Some Other Race Alone,% Households: with a Householder Who Is Two or More Races,% Households: with a Householder Who Is Hispanic or Latino,"% Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder,% Renter-Occupied Housing Units: White Alone Householder,% Renter-Occupied Housing Units: Black or African American Alone Householder,% Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,% Renter-Occupied Housing Units: Asian Alone Householder,% Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,% Renter-Occupied Housing Units: Some Other Race Alone Householder,% Renter-Occupied Housing Units: Two or More Races Householder,"% Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",% Renter-Occupied Housing Units: Hispanic or Latino Householder
ACSSF,pa,140,0,8911,,,,,42,101,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010000,Census Tract 100,,,"Census Tract 100, Philadelphia County, Pennsylvania",42101010000,497692,0,,,,,,,,1940,1015,77,938,7.59,92.41,1015,2029,1740,110,1558,0,45,0,13,14,13,110,6.32,89.54,0,2.59,0,0.75,0.8,0.75,6.32,725,33,679,0,0,0,13,0,33,13,4.55,93.66,0,0,0,1.79,0,4.55,1.79
ACSSF,pa,140,0,8912,,,,,42,101,,,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010100,Census Tract 101,,,"Census Tract 101, Philadelphia County, Pennsylvania",42101010100,601423,0,,,,,,,,0,1358,15,1343,1.1,98.9,1358,2978,2287,15,2179,24,0,0,0,69,24,15,0.66,95.28,1.05,0,0,0,3.02,1.05,0.66,929,0,890,24,0,0,0,15,0,24,0,95.8,2.58,0,0,0,1.61,0,2.58
ACSSF,pa,140,0,8913,,,,,42,101,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010200,Census Tract 102,,,"Census Tract 102, Philadelphia County, Pennsylvania",42101010200,360619,0,,,,,,,,0,497,0,497,0,100,497,1658,1363,39,1311,0,0,0,0,13,59,9,2.86,96.18,0,0,0,0,0.95,4.33,0.66,866,39,814,0,0,0,0,13,9,59,4.5,94,0,0,0,0,1.5,1.04,6.81
ACSSF,pa,140,0,8914,,,,,42,101,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010300,Census Tract 103,,,"Census Tract 103, Philadelphia County, Pennsylvania",42101010300,281275,0,,,,,,,,1943,356,27,329,7.58,92.42,356,1305,980,35,918,0,0,0,27,0,35,27,3.57,93.67,0,0,0,2.76,0,3.57,2.76,624,8,589,0,0,0,27,0,0,35,1.28,94.39,0,0,0,4.33,0,0,5.61
ACSSF,pa,140,0,8915,,,,,42,101,,,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010400,Census Tract 104,,,"Census Tract 104, Philadelphia County, Pennsylvania",42101010400,473022,0,,,,,,,,1951,519,0,519,0,100,519,1966,1540,4,1080,0,0,0,405,51,11,4,0.26,70.13,0,0,0,26.3,3.31,0.71,0.26,1021,4,654,0,0,0,363,0,4,0,0.39,64.05,0,0,0,35.55,0,0.39,0
ACSSF,pa,140,0,8916,,,,,42,101,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010500,Census Tract 105,,,"Census Tract 105, Philadelphia County, Pennsylvania",42101010500,657748,0,,,,,,,,1968,558,46,512,8.24,91.76,558,1742,1493,71,1394,0,16,0,12,0,0,71,4.76,93.37,0,1.07,0,0.8,0,0,4.76,935,25,898,0,0,0,12,0,25,0,2.67,96.04,0,0,0,1.28,0,2.67,0
ACSSF,pa,140,0,8917,,,,,42,101,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010600,Census Tract 106,,,"Census Tract 106, Philadelphia County, Pennsylvania",42101010600,265467,0,,,,,,,,1957,163,0,163,0,100,163,853,638,38,523,11,19,0,0,47,11,38,5.96,81.97,1.72,2.98,0,0,7.37,1.72,5.96,475,38,405,0,7,0,0,25,38,0,8,85.26,0,1.47,0,0,5.26,8,0
ACSSF,pa,140,0,8918,,,,,42,101,,,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010700,Census Tract 107,,,"Census Tract 107, Philadelphia County, Pennsylvania",42101010700,461045,0,,,,,,,,0,484,17,467,3.51,96.49,484,1633,1184,75,1056,17,0,0,0,36,0,75,6.33,89.19,1.44,0,0,0,3.04,0,6.33,700,58,642,0,0,0,0,0,58,0,8.29,91.71,0,0,0,0,0,8.29,0
ACSSF,pa,140,0,8919,,,,,42,101,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010800,Census Tract 108,,,"Census Tract 108, Philadelphia County, Pennsylvania",42101010800,585732,0,,,,,,,,0,544,9,535,1.65,98.35,544,2179,1852,125,1324,35,101,0,0,267,86,105,6.75,71.49,1.89,5.45,0,0,14.42,4.64,5.67,1308,116,848,35,95,0,0,214,96,86,8.87,64.83,2.68,7.26,0,0,16.36,7.34,6.57
ACSSF,pa,140,0,8920,,,,,42,101,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101010900,Census Tract 109,,,"Census Tract 109, Philadelphia County, Pennsylvania",42101010900,286242,0,,,,,,,,1965,229,38,191,16.59,83.41,229,1183,1053,168,816,12,25,0,24,8,30,162,15.95,77.49,1.14,2.37,0,2.28,0.76,2.85,15.38,824,124,631,12,25,0,24,8,124,24,15.05,76.58,1.46,3.03,0,2.91,0.97,15.05,2.91
ACSSF,pa,140,0,8921,,,,,42,101,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011000,Census Tract 110,,,"Census Tract 110, Philadelphia County, Pennsylvania",42101011000,508471,0,,,,,,,,0,512,64,448,12.5,87.5,512,1863,1388,188,1144,0,0,0,30,26,67,173,13.54,82.42,0,0,0,2.16,1.87,4.83,12.46,876,124,707,0,0,0,30,15,109,67,14.16,80.71,0,0,0,3.42,1.71,12.44,7.65
ACSSF,pa,140,0,8922,,,,,42,101,,,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011100,Census Tract 111,,,"Census Tract 111, Philadelphia County, Pennsylvania",42101011100,1301617,0,,,,,,,,0,822,32,790,3.89,96.11,822,1943,1340,53,1232,0,0,0,0,55,0,53,3.96,91.94,0,0,0,0,4.1,0,3.96,518,21,497,0,0,0,0,0,21,0,4.05,95.95,0,0,0,0,0,4.05,0
ACSSF,pa,140,0,8923,,,,,42,101,,,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011200,Census Tract 112,,,"Census Tract 112, Philadelphia County, Pennsylvania",42101011200,503153,0,,,,,,,,0,1141,0,1141,0,100,1141,2485,2015,67,1915,0,0,0,0,33,67,0,3.33,95.04,0,0,0,0,1.64,3.33,0,874,67,774,0,0,0,0,33,0,67,7.67,88.56,0,0,0,0,3.78,0,7.67
ACSSF,pa,140,0,8924,,,,,42,101,,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011300,Census Tract 113,,,"Census Tract 113, Philadelphia County, Pennsylvania",42101011300,335526,0,,,,,,,,0,896,30,866,3.35,96.65,896,1490,1272,30,1242,0,0,0,0,0,14,30,2.36,97.64,0,0,0,0,0,1.1,2.36,376,0,376,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
ACSSF,pa,140,0,8925,,,,,42,101,,,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011400,Census Tract 114,,,"Census Tract 114, Philadelphia County, Pennsylvania",42101011400,972947,0,,,,,,,,0,1548,84,1464,5.43,94.57,1548,3510,3132,120,2939,0,0,0,0,73,15,120,3.83,93.84,0,0,0,0,2.33,0.48,3.83,1584,36,1525,0,0,0,0,23,36,0,2.27,96.28,0,0,0,0,1.45,2.27,0
ACSSF,pa,140,0,8926,,,,,42,101,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011500,Census Tract 115,,,"Census Tract 115, Philadelphia County, Pennsylvania",42101011500,370456,0,,,,,,,,0,1341,163,1178,12.16,87.84,1341,1875,1742,163,1477,28,0,0,0,74,21,163,9.36,84.79,1.61,0,0,0,4.25,1.21,9.36,401,0,401,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
ACSSF,pa,140,0,8927,,,,,42,101,,,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011700,Census Tract 117,,,"Census Tract 117, Philadelphia County, Pennsylvania",42101011700,654025,0,,,,,,,,0,298,43,255,14.43,85.57,298,418,360,69,232,0,0,0,0,59,0,69,19.17,64.44,0,0,0,0,16.39,0,19.17,62,26,31,0,0,0,0,5,26,0,41.94,50,0,0,0,0,8.06,41.94,0
ACSSF,pa,140,0,8928,,,,,42,101,,,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011800,Census Tract 118,,,"Census Tract 118, Philadelphia County, Pennsylvania",42101011800,914502,0,,,,,,,,0,1894,0,1894,0,100,1894,2488,2151,14,2094,0,24,0,0,19,0,14,0.65,97.35,0,1.12,0,0,0.88,0,0.65,257,14,200,0,24,0,0,19,14,0,5.45,77.82,0,9.34,0,0,7.39,5.45,0
ACSSF,pa,140,0,8929,,,,,42,101,,,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101011900,Census Tract 119,,,"Census Tract 119, Philadelphia County, Pennsylvania",42101011900,690906,0,,,,,,,,1948,1207,0,1207,0,100,1207,2586,2126,147,1896,11,0,0,20,52,32,126,6.91,89.18,0.52,0,0,0.94,2.45,1.51,5.93,919,126,754,0,0,0,0,39,126,0,13.71,82.05,0,0,0,0,4.24,13.71,0
ACSSF,pa,140,0,8930,,,,,42,101,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012000,Census Tract 120,,,"Census Tract 120, Philadelphia County, Pennsylvania",42101012000,600670,0,,,,,,,,0,327,73,254,22.32,77.68,327,732,642,149,407,0,31,0,11,44,10,139,23.21,63.4,0,4.83,0,1.71,6.85,1.56,21.65,315,70,231,0,10,0,0,4,66,4,22.22,73.33,0,3.17,0,0,1.27,20.95,1.27
ACSSF,pa,140,0,8931,,,,,42,101,,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012100,Census Tract 121,,,"Census Tract 121, Philadelphia County, Pennsylvania",42101012100,876796,5378,,,,,,,,1960,487,105,382,21.56,78.44,487,1717,1623,252,1190,0,79,0,28,74,55,252,15.53,73.32,0,4.87,0,1.73,4.56,3.39,15.53,1136,147,814,0,73,0,28,74,147,55,12.94,71.65,0,6.43,0,2.46,6.51,12.94,4.84
ACSSF,pa,140,0,8932,,,,,42,101,,,12201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012201,Census Tract 122.01,,,"Census Tract 122.01, Philadelphia County, Pennsylvania",42101012201,376738,2325,,,,,,,,1973,0,0,0,,,0,2372,2042,526,1162,0,259,0,0,95,105,421,25.76,56.9,0,12.68,0,0,4.65,5.14,20.62,2042,526,1162,0,259,0,0,95,421,105,25.76,56.9,0,12.68,0,0,4.65,20.62,5.14
ACSSF,pa,140,0,8933,,,,,42,101,,,12203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012203,Census Tract 122.03,,,"Census Tract 122.03, Philadelphia County, Pennsylvania",42101012203,227696,0,,,,,,,,1970,0,0,0,,,0,849,567,145,93,0,226,28,0,75,58,136,25.57,16.4,0,39.86,4.94,0,13.23,10.23,23.99,567,145,93,0,226,28,0,75,136,58,25.57,16.4,0,39.86,4.94,0,13.23,23.99,10.23
ACSSF,pa,140,0,8934,,,,,42,101,,,12204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012204,Census Tract 122.04,,,"Census Tract 122.04, Philadelphia County, Pennsylvania",42101012204,879459,56473,,,,,,,,1962,919,128,791,13.93,86.07,919,2063,1867,297,1434,22,72,0,19,23,19,297,15.91,76.81,1.18,3.86,0,1.02,1.23,1.02,15.91,948,169,701,13,52,0,13,0,169,13,17.83,73.95,1.37,5.49,0,1.37,0,17.83,1.37
ACSSF,pa,140,0,8935,,,,,42,101,,,12501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012501,Census Tract 125.01,,,"Census Tract 125.01, Philadelphia County, Pennsylvania",42101012501,295431,0,,,,,,,,1989,0,0,0,,,0,1418,1096,753,86,0,179,0,0,78,80,753,68.7,7.85,0,16.33,0,0,7.12,7.3,68.7,1096,753,86,0,179,0,0,78,753,80,68.7,7.85,0,16.33,0,0,7.12,68.7,7.3
ACSSF,pa,140,0,8936,,,,,42,101,,,12502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101012502,Census Tract 125.02,,,"Census Tract 125.02, Philadelphia County, Pennsylvania",42101012502,569430,32791,,,,,,,,1974,438,331,107,75.57,24.43,438,2854,2630,1744,300,0,492,0,19,75,122,1701,66.31,11.41,0,18.71,0,0.72,2.85,4.64,64.68,2192,1413,300,0,386,0,19,74,1370,122,64.46,13.69,0,17.61,0,0.87,3.38,62.5,5.57
ACSSF,pa,140,0,8937,,,,,42,101,,,13100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013100,Census Tract 131,,,"Census Tract 131, Philadelphia County, Pennsylvania",42101013100,322156,0,,,,,,,,1956,159,27,132,16.98,83.02,159,959,851,403,364,0,47,0,0,37,41,374,47.36,42.77,0,5.52,0,0,4.35,4.82,43.95,692,376,262,0,20,0,0,34,347,41,54.34,37.86,0,2.89,0,0,4.91,50.14,5.92
ACSSF,pa,140,0,8938,,,,,42,101,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013200,Census Tract 132,,,"Census Tract 132, Philadelphia County, Pennsylvania",42101013200,426669,0,,,,,,,,1990,214,16,198,7.48,92.52,214,1491,1405,475,732,0,59,0,139,0,197,393,33.81,52.1,0,4.2,0,9.89,0,14.02,27.97,1191,459,581,0,27,0,124,0,377,182,38.54,48.78,0,2.27,0,10.41,0,31.65,15.28
ACSSF,pa,140,0,8939,,,,,42,101,,,13300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013300,Census Tract 133,,,"Census Tract 133, Philadelphia County, Pennsylvania",42101013300,357932,0,,,,,,,,1952,332,251,81,75.6,24.4,332,2072,1752,1173,304,0,171,0,54,50,141,1099,66.95,17.35,0,9.76,0,3.08,2.85,8.05,62.73,1420,901,291,0,124,0,54,50,848,120,63.45,20.49,0,8.73,0,3.8,3.52,59.72,8.45
ACSSF,pa,140,0,8940,,,,,42,101,,,13401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013401,Census Tract 134.01,,,"Census Tract 134.01, Philadelphia County, Pennsylvania",42101013401,164058,0,,,,,,,,1963,1103,1006,97,91.21,8.79,1103,1915,1762,1546,135,0,54,0,0,27,1,1546,87.74,7.66,0,3.06,0,0,1.53,0.06,87.74,659,540,48,0,54,0,0,17,540,1,81.94,7.28,0,8.19,0,0,2.58,81.94,0.15
ACSSF,pa,140,0,8941,,,,,42,101,,,13402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013402,Census Tract 134.02,,,"Census Tract 134.02, Philadelphia County, Pennsylvania",42101013402,238612,0,,,,,,,,0,502,284,218,56.57,43.43,502,2011,1851,1425,227,9,85,0,75,30,178,1339,76.99,12.26,0.49,4.59,0,4.05,1.62,9.62,72.34,1349,1119,97,9,32,0,75,17,1055,156,82.95,7.19,0.67,2.37,0,5.56,1.26,78.21,11.56
ACSSF,pa,140,0,8942,,,,,42,101,,,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013500,Census Tract 135,,,"Census Tract 135, Philadelphia County, Pennsylvania",42101013500,404892,0,,,,,,,,0,1029,855,174,83.09,16.91,1029,1824,1625,1353,161,0,90,0,6,15,64,1295,83.26,9.91,0,5.54,0,0.37,0.92,3.94,79.69,596,451,89,0,43,0,6,7,440,17,75.67,14.93,0,7.21,0,1.01,1.17,73.83,2.85
ACSSF,pa,140,0,8943,,,,,42,101,,,13601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013601,Census Tract 136.01,,,"Census Tract 136.01, Philadelphia County, Pennsylvania",42101013601,175316,0,,,,,,,,0,937,794,143,84.74,15.26,937,1632,1558,1234,132,0,99,0,14,79,41,1221,79.2,8.47,0,6.35,0,0.9,5.07,2.63,78.37,621,440,59,0,43,0,0,79,427,41,70.85,9.5,0,6.92,0,0,12.72,68.76,6.6
ACSSF,pa,140,0,8944,,,,,42,101,,,13602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013602,Census Tract 136.02,,,"Census Tract 136.02, Philadelphia County, Pennsylvania",42101013602,246812,0,,,,,,,,0,1064,867,197,81.48,18.52,1064,2054,1990,1720,108,0,57,0,0,105,124,1603,86.43,5.43,0,2.86,0,0,5.28,6.23,80.55,926,751,68,0,9,0,0,98,736,15,81.1,7.34,0,0.97,0,0,10.58,79.48,1.62
ACSSF,pa,140,0,8945,,,,,42,101,,,13701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013701,Census Tract 137.01,,,"Census Tract 137.01, Philadelphia County, Pennsylvania",42101013701,264473,0,,,,,,,,1960,360,257,103,71.39,28.61,360,1064,972,680,222,0,49,0,21,0,68,633,69.96,22.84,0,5.04,0,2.16,0,7,65.12,612,423,150,0,18,0,21,0,376,68,69.12,24.51,0,2.94,0,3.43,0,61.44,11.11
ACSSF,pa,140,0,8946,,,,,42,101,,,13702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013702,Census Tract 137.02,,,"Census Tract 137.02, Philadelphia County, Pennsylvania",42101013702,325261,0,,,,,,,,0,806,334,472,41.44,58.56,806,2055,1790,706,992,0,0,0,0,92,194,656,39.44,55.42,0,0,0,0,5.14,10.84,36.65,984,372,545,0,0,0,0,67,322,153,37.8,55.39,0,0,0,0,6.81,32.72,15.55
ACSSF,pa,140,0,8947,,,,,42,101,,,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013800,Census Tract 138,,,"Census Tract 138, Philadelphia County, Pennsylvania",42101013800,341257,0,,,,,,,,0,395,109,286,27.59,72.41,395,1166,930,287,491,0,54,9,33,56,57,245,30.86,52.8,0,5.81,0.97,3.55,6.02,6.13,26.34,535,178,242,0,33,0,33,49,136,42,33.27,45.23,0,6.17,0,6.17,9.16,25.42,7.85
ACSSF,pa,140,0,8948,,,,,42,101,,,13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101013900,Census Tract 139,,,"Census Tract 139, Philadelphia County, Pennsylvania",42101013900,562937,0,,,,,,,,1983,358,77,281,21.51,78.49,358,1554,1317,756,456,0,12,0,13,80,367,402,57.4,34.62,0,0.91,0,0.99,6.07,27.87,30.52,959,679,219,0,0,0,13,48,325,367,70.8,22.84,0,0,0,1.36,5.01,33.89,38.27
ACSSF,pa,140,0,8949,,,,,42,101,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014000,Census Tract 140,,,"Census Tract 140, Philadelphia County, Pennsylvania",42101014000,439804,0,,,,,,,,1982,427,82,345,19.2,80.8,427,2225,1949,560,1019,0,172,0,17,181,116,534,28.73,52.28,0,8.83,0,0.87,9.29,5.95,27.4,1522,478,698,0,148,0,17,181,452,116,31.41,45.86,0,9.72,0,1.12,11.89,29.7,7.62
ACSSF,pa,140,0,8950,,,,,42,101,,,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014100,Census Tract 141,,,"Census Tract 141, Philadelphia County, Pennsylvania",42101014100,562140,0,,,,,,,,1978,255,104,151,40.78,59.22,255,1271,1221,233,718,26,188,0,37,19,49,233,19.08,58.8,2.13,15.4,0,3.03,1.56,4.01,19.08,966,129,622,26,139,0,37,13,129,49,13.35,64.39,2.69,14.39,0,3.83,1.35,13.35,5.07
ACSSF,pa,140,0,8951,,,,,42,101,,,14201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014201,Census Tract 142.01,,,"Census Tract 142.01, Philadelphia County, Pennsylvania",42101014201,290725,0,,,,,,,,1946,657,465,192,70.78,29.22,657,1722,1687,1278,206,26,87,0,0,90,155,1226,75.76,12.21,1.54,5.16,0,0,5.33,9.19,72.67,1030,795,129,16,56,0,0,34,761,84,77.18,12.52,1.55,5.44,0,0,3.3,73.88,8.16
ACSSF,pa,140,0,8952,,,,,42,101,,,14202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014202,Census Tract 142.02,,,"Census Tract 142.02, Philadelphia County, Pennsylvania",42101014202,514671,305265,,,,,,,,1996,425,255,170,60,40,425,1489,1325,1079,42,0,45,0,87,72,165,1055,81.43,3.17,0,3.4,0,6.57,5.43,12.45,79.62,900,800,25,0,32,0,25,18,800,25,88.89,2.78,0,3.56,0,2.78,2,88.89,2.78
ACSSF,pa,140,0,8953,,,,,42,101,,,14300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014300,Census Tract 143,,,"Census Tract 143, Philadelphia County, Pennsylvania",42101014300,570961,282807,,,,,,,,0,510,382,128,74.9,25.1,510,1002,933,780,55,0,56,0,42,0,65,757,83.6,5.89,0,6,0,4.5,0,6.97,81.14,423,389,0,0,14,0,20,0,375,34,91.96,0,0,3.31,0,4.73,0,88.65,8.04
ACSSF,pa,140,0,8954,,,,,42,101,,,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014400,Census Tract 144,,,"Census Tract 144, Philadelphia County, Pennsylvania",42101014400,609443,0,,,,,,,,1973,1373,892,481,64.97,35.03,1373,2645,2446,1645,243,0,249,0,272,37,440,1537,67.25,9.93,0,10.18,0,11.12,1.51,17.99,62.84,1073,704,81,0,37,0,239,12,645,298,65.61,7.55,0,3.45,0,22.27,1.12,60.11,27.77
ACSSF,pa,140,0,8955,,,,,42,101,,,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014500,Census Tract 145,,,"Census Tract 145, Philadelphia County, Pennsylvania",42101014500,321465,0,,,,,,,,1983,225,0,225,0,100,225,894,813,121,555,0,11,0,48,78,157,90,14.88,68.27,0,1.35,0,5.9,9.59,19.31,11.07,588,96,454,0,11,0,18,9,90,33,16.33,77.21,0,1.87,0,3.06,1.53,15.31,5.61
ACSSF,pa,140,0,8956,,,,,42,101,,,14600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014600,Census Tract 146,,,"Census Tract 146, Philadelphia County, Pennsylvania",42101014600,445048,0,,,,,,,,1968,452,6,446,1.33,98.67,452,1268,1140,129,845,0,121,0,12,33,36,93,11.32,74.12,0,10.61,0,1.05,2.89,3.16,8.16,688,123,453,0,85,0,0,27,87,36,17.88,65.84,0,12.35,0,0,3.92,12.65,5.23
ACSSF,pa,140,0,8957,,,,,42,101,,,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014700,Census Tract 147,,,"Census Tract 147, Philadelphia County, Pennsylvania",42101014700,337677,0,,,,,,,,1965,191,0,191,0,100,191,1482,1208,347,707,0,77,0,0,77,46,347,28.73,58.53,0,6.37,0,0,6.37,3.81,28.73,1017,347,528,0,65,0,0,77,347,46,34.12,51.92,0,6.39,0,0,7.57,34.12,4.52
ACSSF,pa,140,0,8958,,,,,42,101,,,14800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014800,Census Tract 148,,,"Census Tract 148, Philadelphia County, Pennsylvania",42101014800,191125,0,,,,,,,,1979,51,9,42,17.65,82.35,51,598,452,9,374,0,54,0,0,15,0,9,1.99,82.74,0,11.95,0,0,3.32,0,1.99,401,0,362,0,24,0,0,15,0,0,0,90.27,0,5.99,0,0,3.74,0,0
ACSSF,pa,140,0,8959,,,,,42,101,,,14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101014900,Census Tract 149,,,"Census Tract 149, Philadelphia County, Pennsylvania",42101014900,453220,0,,,,,,,,0,791,114,677,14.41,85.59,791,2413,2012,228,1673,0,0,0,69,42,183,155,11.33,83.15,0,0,0,3.43,2.09,9.1,7.7,1221,114,1065,0,0,0,0,42,41,114,9.34,87.22,0,0,0,0,3.44,3.36,9.34
ACSSF,pa,140,0,8960,,,,,42,101,,,15101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101015101,Census Tract 151.01,,,"Census Tract 151.01, Philadelphia County, Pennsylvania",42101015101,193072,0,,,,,,,,1942,275,19,256,6.91,93.09,275,1033,765,58,667,0,10,0,0,30,52,43,7.58,87.19,0,1.31,0,0,3.92,6.8,5.62,490,39,441,0,10,0,0,0,24,15,7.96,90,0,2.04,0,0,0,4.9,3.06
