Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009087",,,,,"42","101",,,"028902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028902","Census Tract 289.02",,,,6748,1845,2199,157,757,0,1512,278,27.34,32.59,2.33,11.22,0,22.41,4.12
"42101029000","Census Tract 290, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009088",,,,,"42","101",,,"029000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029000","Census Tract 290",,,,9054,1270,3373,0,1832,0,2426,153,14.03,37.25,0,20.23,0,26.79,1.69
"42101029100","Census Tract 291, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009089",,,,,"42","101",,,"029100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029100","Census Tract 291",,,,4287,723,1426,0,915,0,1122,101,16.86,33.26,0,21.34,0,26.17,2.36
"42101029200","Census Tract 292, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009090",,,,,"42","101",,,"029200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029200","Census Tract 292",,,,4321,859,1564,21,333,0,1144,400,19.88,36.2,0.49,7.71,0,26.48,9.26
"42101029300","Census Tract 293, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009091",,,,,"42","101",,,"029300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029300","Census Tract 293",,,,3048,1320,428,0,0,0,1108,192,43.31,14.04,0,0,0,36.35,6.3
"42101029400","Census Tract 294, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009092",,,,,"42","101",,,"029400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029400","Census Tract 294",,,,4158,1020,1823,0,287,0,736,292,24.53,43.84,0,6.9,0,17.7,7.02
"42101029800","Census Tract 298, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009093",,,,,"42","101",,,"029800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029800","Census Tract 298",,,,5204,1660,2258,0,212,0,899,175,31.9,43.39,0,4.07,0,17.28,3.36
"42101029900","Census Tract 299, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009094",,,,,"42","101",,,"029900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029900","Census Tract 299",,,,4372,499,2350,128,56,0,1052,287,11.41,53.75,2.93,1.28,0,24.06,6.56
"42101030000","Census Tract 300, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009095",,,,,"42","101",,,"030000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030000","Census Tract 300",,,,8024,2892,3195,0,77,0,1084,776,36.04,39.82,0,0.96,0,13.51,9.67
"42101030100","Census Tract 301, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009096",,,,,"42","101",,,"030100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030100","Census Tract 301",,,,5645,1291,2528,0,396,0,1215,215,22.87,44.78,0,7.02,0,21.52,3.81
